Report generated on: 12-09-2022 13:21:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.26-2-AZE-BCF.A,        Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,522.66,388.47,331.96,317.84,328.43,323.4854,197.41085,211.89,199.8829,237.3168,319.9539,324.898,351.0311,366.5697,399.0595,313.5972,351.0311,344.6744,368.6886,328.78265,372.57325,334.43305,354.20945,384.2272,376.8817424,365.4750943,372.5466707,404.9777136,409.0653097,440.5545546
INTL.26-2-BHR-BCF.A,        Bahrain,100,120,130,140,133,164,180,217,182,186,205,233,187.8758,233.7853,229.19,229.19,232.01955,281.46055,292.76135,296.99915,302.64955,314.3035,334.0799,339.7303,344.32125,378.22365,400.11895,416.0107,438.25915,440.7312,450.97255,445.6753,483.8155,554.4455,547.3825,547.3825,541.379001,561.1199183,567.1121576,624.6792318,623.4358261,655.1690602
INTL.26-2-BGD-BCF.A,        Bangladesh,50,60,65,69,95,100,113,131,150,164,162,173,206.2396,215.77,234.84,260.27,269.45345,269.45345,289.583,319.60075,342.5555,363.7445,391.9965,429.07725,462.6265,494.41,541.0258,574.57505,632.1385,692.174,710.89095,710.18465,777.98945,805.182,844.0285,948.6090665,1039.191272,1042.864001,1008.303159,1121.016785,1079.096069,1121.962086
INTL.26-2-BRB-BCF.A,        Barbados,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.9,1,1.20071,1.165395,1.69512,1.659805,1.62449,1.659805,1.589175,1.518545,1.306655,1.659805,1.338869341,1.13008,1.024135,1.024135,1.05945,0.930600191,0.948705253,0.665361032,0.601088061,0.576646227,0.570309456,0.582982999,0.667171538,0.782138682,0.50151022,0.626435148,0.70605,0.769222368,0.716891786,0.739609219,0.767861,0.823861
INTL.26-2-BLR-BCF.A,        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,645.91,599.65,497.59,452.03,494.41,533.2565,544.91045,607.77115,692.209315,635.67,598.2361,634.2574,579.166,716.8945,740.55555,733.1394,750.51438,626.84125,763.757505,743.38075,732.07995,717.17702,709.1252,612.00895,607.8771301,625.428536,663.4437056,658.2524907,609.4678719,643.7751276
INTL.26-2-BEL-BCF.A,        Belgium,371,341,282,297,306,306,272,304,299,332,340.61,363.32,374.44,391.85,400.65,443.24,492.679565,469.97202,517.57664,551.05526,553.845145,546.782145,563.521455,600.355,611.79706,601.41445,619.036635,623.6629,619.4251,625.49928,728.47782,629.45456,632.456335,641.10851,562.14417,605.15784,615.2225295,622.2148401,641.113382,646.0831678,642.4419386,641.5175725
INTL.26-2-BLZ-BCF.A,        Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-BEN-BCF.A,        Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386617,1.05441,1.124704,0.070294,1.411819843,0.673275932,1.968513176,5.793807215,se|6.1
INTL.26-2-BMU-BCF.A,        Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-BTN-BCF.A,        Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-BOL-BCF.A,        Bolivia,14,21,12,15,14,11,14,14,19,26,30,26,32,30.02,34.96,43.44,37.08075,47.3221,30.72405,31.7835,44.4969,28.9583,36.0213,79.1056,75.5741,74.51465,84.756,88.64065,101.389365,99.94145,96.0568,84.756,112.65485,119.01155,112.93737,95.3505,112.5840736,112.4428148,113.6374621,108.4919842,86.983091,106.7049248
INTL.26-2-BIH-BCF.A,        Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,17.68,14.15967339,14.63,86.52,4.9441,4.9441,7.063,7.063,10.5945,10.5945,5.6504,5.6504,10.5945,14.126,14.126,11.3008,10.94765,7.41615,8.12245,9.1819,8.4756,8.4756,5.968235,7.063,7.3808323,8.0164969,8.002688893,7.707649087,6.893925571,7.955800566
INTL.26-2-BWA-BCF.A,        Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-BRA-BCF.A,        Brazil,42,42,46,57,74,92,90,105,97,123,97,118.86,130.31235,146,152.2,159.27,178.34075,194.9388,204.827,230.9601,333.3736,396.2343,472.86785,499.3541,608.1243,657.21215,682.9921,701.3559,835.19975,729.3700755,969.8982036,968.4639045,1143.978894,1346.480433,1424.531149,1504.086657,1292.491729,1317.957564,1255.561142,1244.956772,1173.078764,1437.248767
INTL.26-2-VGB-BCF.A,        British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-BRN-BCF.A,        Brunei,60,62,70,52,44,53,33,57,48,57,46,30,35,28.605,24.72,34.26,27.5457,31.0772,26.8394,36.7276,38.8465,47.67525,58.97605,61.09495,70.63,82.99025,140.90685,144.826815,148.323,87.93435,104.88555,106.6513,104.17925,94.99735,112.65485,122.8962,134.6559951,138.9290738,144.0281032,136.6472332,147.1561862,120.9613336
INTL.26-2-BGR-BCF.A,        Bulgaria,180,166,180,184,181,219,225,223,221,223,241.495,185.0660877,195.6451,171.98405,168.1,208.36,218.6,181.5191,134.9033,119.01155,113.7143,103.1198,109.7348319,106.6437099,110.4582314,121.929703,125.7545141,118.30525,113.36115,73.10205,89.7001,111.5954,105.1320412,105.062125,101.0009,111.2908973,112.300746,116.9976011,110.5152957,103.4507486,105.3834487,119.2654944
INTL.26-2-BFA-BCF.A,        Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MMR-BCF.A,        Burma,11,12,16,19,23,28,38,40,37,38,38,36.40711045,35.85,38.846,50.5,57.92,56.504,53.32565,62.1544,57.56345,65.6859,69.2174,77.693,88.64065,94.29105,146.2041,127.8403,145.4978,135.96275,114.77375,114.4206,117.9521,123.6025,128.19345,121.4836,126.78085,155.5976452,159.0231711,146.0988679,129.3331384,142.0577337,141.3674511
INTL.26-2-BDI-BCF.A,        Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-CPV-BCF.A,        Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-KHM-BCF.A,        Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-CMR-BCF.A,        Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7063,0.7063,0.7063,0.7063,0.7063,7.41615,5.29725,9.60568,10.94765,16.562735,18.320085,19.55023,21.63869989,27.89577971,26.37739416,32.41480523,25.244044
INTL.26-2-CAN-BCF.A,        Canada,1883,1842,1859,1863,2017,2165,2130,2112,2331,2427,2377.62,2400.48,2595.69,2690.715,2737.59,2872.48,2917.195575,2887.248455,2797.51304,3107.543425,2991.357075,3121.42222,3173.4059,3372.93565,3340.975575,3144.09445,3283.09429,3050.5097,2937.14855,3111.60465,3436.467335,3556.326445,3717.292215,3960.78914,4099.71835,4053.420385,3910.671246,4143.821749,4415.077297,4358.606539,4221.312403,4367.408636
INTL.26-2-CYM-BCF.A,        Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
